Region,Average Life Ladder (2013-2023)
Australia and New Zealand,7.20106656551361
Western Europe,7.052243375778198
Northern America,7.011122226715088
Northern Europe,6.981949068307877
Central America,6.28569864216778
South America,5.973151466581557
Southern Europe,5.822854054279817
Eastern Europe,5.800042686992222
Eastern Asia,5.777515895782955
Central Asia,5.685412499109904
South-Eastern Asia,5.433654662456883
Western Asia,5.329052176000246
Caribbean,5.287111429373423
Northern Africa,4.82681462484062
Southern Asia,4.5113172313313425
Western Africa,4.475598187720965
middle africa,4.4389578938484195
Eastern Africa,4.171052070952056
Southern Africa,4.167989230950673
Middle Africa,4.0447914073864615
