Country name,Average Life Ladder,Count Life Ladder,Average Freedom,Count Freedom,Average GDP per capita,Count GDP,Average Social Support,Count Social Support,Average Healthy Life Expectancy,Count Healthy Life Expectancy,Average Perceptions of Corruption,Count Perceptions of Corruption,Average Negative Affect,Count Negative Affect,Average Generosity,Count Generosity
Afghanistan,2.6920273436440363,9,0.400577187538147,9,7.60257979801723,9,0.4536084747976727,9,53.68611102634006,9,0.863215704758962,9,0.44261829720603096,9,-0.027212266411100125,9
Central African Republic,3.0844615697860718,2,0.6346544325351715,2,6.720135927200317,2,0.3048866540193558,2,45.02499961853027,2,0.8743195235729218,2,0.5468017756938934,2,0.0536637585610151,2
Burundi,3.339909076690674,2,0.5388917922973633,2,6.665120363235474,2,0.5246966779232025,2,54.290000915527344,2,0.7031132578849792,2,0.30693061649799347,2,-0.04283135756850235,2
Rwanda,3.3915583292643228,6,0.9023332794507345,6,7.569867372512817,6,0.6189599384864172,6,59.34166653951009,6,0.14612401773532227,6,0.2849288706978162,6,0.029745197854936085,6
South Sudan,3.401874601840973,4,0.4937051087617874,4,,0,0.5547185689210892,4,53.10124969482422,4,0.7494334727525711,4,0.48618386685848236,4,,0
Syria,3.4619128704071045,1,0.4482708573341369,1,8.492067337036133,1,0.4639128744602203,1,56.29999923706055,1,0.685236930847168,1,0.64258873462677,1,0.0358873680233955,1
Zimbabwe,3.4754331588745115,10,0.6887146174907685,10,7.706632089614868,10,0.7321145057678222,10,52.79000015258789,10,0.7835948765277863,10,0.22553801983594896,10,-0.06617986983619627,10
Yemen,3.5507752001285553,8,0.5994488596916199,8,7.60312287012736,8,0.7785542532801628,8,57.70187473297119,8,0.8107266823450724,8,0.28048461489379406,8,-0.13493991022308663,8
Tanzania,3.560303521156311,10,0.8016050517559051,10,7.819078540802002,10,0.6907175600528717,10,58.25400009155273,10,0.6638323962688446,10,0.23212836235761639,10,0.1444554969668388,10
Botswana,3.562044143676758,8,0.8060417473316193,8,9.60536277294159,8,0.7790070399641991,8,53.60437488555908,8,0.7884851172566414,8,0.26359792239964003,8,-0.20728944987058637,8
