Country,Continent,Region
Uganda,Africa,Eastern Africa
Uzbekistan,Asia,Central Asia
Ireland,Europe,Northern Europe
Eritrea,Africa,Eastern Africa
Ma'tan al-Sarra,Africa,Northern Africa
Switzerland,Europe,Western Europe
Jersey,Europe,Northern Europe
Austria,Europe,Western Europe
Portugal,Europe,Southern Europe
Luxembourg,Europe,Western Europe
Kazakhstan,Asia,Central Asia
Aruba,Americas,Caribbean
Holy See,Europe,Southern Europe
Equatorial Guinea,Africa,Middle Africa
Jamaica,Americas,Caribbean
Estonia,Europe,Northern Europe
Niger,Africa,Western Africa
Belize,Americas,Central America
Morocco,Africa,Northern Africa
South Georgia & the South Sandwich Islands,Antarctica,Antarctica
Mongolia,Asia,Eastern Asia
Spain,Europe,Southern Europe
Cyprus,Asia,Western Asia
Macao,Asia,Eastern Asia
Jammu-Kashmir,Asia,Eastern Asia
Heard Island and McDonald Islands,Antarctica,Antarctica
French Guiana,Americas,South America
Democratic Republic of the Congo,Africa,Middle Africa
Guinea-Bissau,Africa,Western Africa
Papua New Guinea,Oceania,Melanesia
Glorioso Islands,Africa,Eastern Africa
Paracel Islands,Asia,South-Eastern Asia
Guernsey,Europe,Northern Europe
Palau,Oceania,Micronesia
Canada,Americas,Northern America
Ethiopia,Africa,Eastern Africa
Greenland,Americas,Northern America
Comoros,Africa,Eastern Africa
Abyei,Africa,Northern Africa
Guatemala,Americas,Central America
Kyrgyzstan,Asia,Central Asia
Suriname,Americas,South America
Poland,Europe,Eastern Europe
Mayotte,Africa,Eastern Africa
Cameroon,Africa,Middle Africa
hong kong s.a.r. of china,Asia,Eastern Asia
Yemen,Asia,Western Asia
Western Sahara,Africa,Northern Africa
Tokelau,Oceania,Polynesia
united states,Americas,Northern America
Grenada,Americas,Caribbean
Cayman Islands,Americas,Caribbean
Dominican Republic,Americas,Caribbean
Andorra,Europe,Southern Europe
Australia,Oceania,Australia and New Zealand
Bouvet Island,Antarctica,Antarctica
north macedonia,Europe,Southern Europe
Peru,Americas,South America
Benin,Africa,Western Africa
Paraguay,Americas,South America
Kuwait,Asia,Western Asia
Brunei Darussalam,Asia,South-Eastern Asia
Cape Verde,Africa,Western Africa
Italy,Europe,Southern Europe
Iran,Asia,Southern Asia
United Arab Emirates,Asia,Western Asia
British Virgin Islands,Americas,Caribbean
San Marino,Europe,Southern Europe
Zambia,Africa,Eastern Africa
Latvia,Europe,Northern Europe
Marshall Islands,Oceania,Micronesia
syria,Asia,Western Asia
Sri Lanka,Asia,Southern Asia
Hungary,Europe,Eastern Europe
Djibouti,Africa,Eastern Africa
Vanuatu,Oceania,Melanesia
Cambodia,Asia,South-Eastern Asia
Georgia,Asia,Western Asia
Nigeria,Africa,Western Africa
Norfolk Island,Oceania,Australia and New Zealand
Aksai Chin,Asia,Eastern Asia
Monaco,Europe,Western Europe
Gambia,Africa,Western Africa
Timor-Leste,Asia,South-Eastern Asia
Honduras,Americas,Central America
Botswana,Africa,Southern Africa
Burkina Faso,Africa,Western Africa
Ukraine,Europe,Eastern Europe
Oman,Asia,Western Asia
Republic of Korea,Asia,Eastern Asia
Montserrat,Americas,Caribbean
Liberia,Africa,Western Africa
Rwanda,Africa,Eastern Africa
Nicaragua,Americas,Central America
Mozambique,Africa,Eastern Africa
Christmas Island,Asia,South-Eastern Asia
United States Virgin Islands,Americas,Caribbean
Faroe Islands,Europe,Northern Europe
Lesotho,Africa,Southern Africa
Tajikistan,Asia,Central Asia
Burundi,Africa,Eastern Africa
Philippines,Asia,South-Eastern Asia
Madagascar,Africa,Eastern Africa
Azerbaijan,Asia,Western Asia
Mauritania,Africa,Western Africa
Egypt,Africa,Northern Africa
Germany,Europe,Western Europe
ivory coast,Africa,Western Africa
India,Asia,Southern Asia
Venezuela,Americas,South America
Bhutan,Asia,Southern Asia
Sierra Leone,Africa,Western Africa
Tonga,Oceania,Polynesia
Dominica,Americas,Caribbean
Guantanamo,Americas,Caribbean
Costa Rica,Americas,Central America
Indonesia,Asia,South-Eastern Asia
Liechtenstein,Europe,Western Europe
Kiribati,Oceania,Micronesia
Fiji,Oceania,Melanesia
Malawi,Africa,Eastern Africa
Hala'ib Triangle,Africa,Northern Africa
Myanmar,Asia,South-Eastern Asia
Mauritius,Africa,Eastern Africa
Cocos (Keeling) Islands,Asia,South-Eastern Asia
Afghanistan,Asia,Southern Asia
Sao Tome and Principe,Africa,Middle Africa
Colombia,Americas,South America
czechia,Europe,Eastern Europe
Japan,Asia,Eastern Asia
laos,Asia,South-Eastern Asia
Tunisia,Africa,Northern Africa
Guyana,Americas,South America
Gabon,Africa,Middle Africa
Ilemi Triangle,Africa,Northern Africa
Spratly Islands,Asia,South-Eastern Asia
Bermuda,Americas,Northern America
Arunachal Pradesh,Asia,Eastern Asia
South Sudan,Africa,Middle Africa
Bulgaria,Europe,Eastern Europe
united kingdom,Europe,Northern Europe
Bahrain,Asia,Western Asia
Niue,Oceania,Polynesia
Somalia,Africa,Eastern Africa
Barbados,Americas,Caribbean
Puerto Rico,Americas,Caribbean
Seychelles,Africa,Eastern Africa
Senegal,Africa,Western Africa
Greece,Europe,Southern Europe
West Bank,Asia,Western Asia
Northern Mariana Islands,Oceania,Micronesia
Kuril Islands,Asia,Eastern Asia
France,Europe,Western Europe
Serbia,Europe,Southern Europe
Uruguay,Americas,South America
Guam,Oceania,Micronesia
Panama,Americas,Central America
Netherlands Antilles,Americas,Caribbean
Algeria,Africa,Northern Africa
Togo,Africa,Western Africa
Isle of Man,Europe,Northern Europe
Iceland,Europe,Northern Europe
Namibia,Africa,Southern Africa
moldova,Europe,Eastern Europe
Nauru,Oceania,Micronesia
Thailand,Asia,South-Eastern Asia
Nepal,Asia,Southern Asia
American Samoa,Oceania,Polynesia
Turks and Caicos Islands,Americas,Caribbean
Bolivia,Americas,South America
Cuba,Americas,Caribbean
China,Asia,Eastern Asia
Iraq,Asia,Western Asia
Martinique,Americas,Caribbean
Malaysia,Asia,South-Eastern Asia
Sweden,Europe,Northern Europe
Ghana,Africa,Western Africa
Angola,Africa,Middle Africa
Netherlands,Europe,Western Europe
Chad,Africa,Middle Africa
Trinidad and Tobago,Americas,Caribbean
Slovakia,Europe,Eastern Europe
Mali,Africa,Western Africa
Armenia,Asia,Western Asia
Albania,Europe,Southern Europe
Gibraltar,Europe,Southern Europe
Jarvis Island,Americas,Northern America
Montenegro,Europe,Southern Europe
Svalbard and Jan Mayen Islands,Europe,Northern Europe
Vietnam,Asia,South-Eastern Asia
Croatia,Europe,Southern Europe
Malta,Europe,Southern Europe
Finland,Europe,Northern Europe
türkiye,Asia,Western Asia
Lithuania,Europe,Northern Europe
russia,Europe,Eastern Europe
Zimbabwe,Africa,Eastern Africa
Singapore,Asia,South-Eastern Asia
Argentina,Americas,South America
Congo,Africa,Middle Africa
Bahamas,Americas,Caribbean
Chile,Americas,South America
Guinea,Africa,Western Africa
British Indian Ocean Territory,Africa,Eastern Africa
Saint Kitts and Nevis,Americas,Caribbean
Solomon Islands,Oceania,Melanesia
Pitcairn Island,Oceania,Polynesia
Saint Lucia,Americas,Caribbean
Turkmenistan,Asia,Central Asia
French Southern and Antarctic Territories,Antarctica,Antarctica
Slovenia,Europe,Southern Europe
El Salvador,Americas,Central America
Cook Islands,Oceania,Polynesia
eswatini,Africa,Southern Africa
New Caledonia,Oceania,Melanesia
Falkland Islands (Malvinas),Americas,South America
Pakistan,Asia,Southern Asia
South Africa,Africa,Southern Africa
south korea,Asia,Eastern Asia
Maldives,Asia,Southern Asia
Lebanon,Asia,Western Asia
New Zealand,Oceania,Australia and New Zealand
Madeira Islands,Europe,Southern Europe
Kenya,Africa,Eastern Africa
Antigua & Barbuda,Americas,Caribbean
Norway,Europe,Northern Europe
Bangladesh,Asia,Southern Asia
Denmark,Europe,Northern Europe
Belgium,Europe,Western Europe
Samoa,Oceania,Polynesia
Anguilla,Americas,Caribbean
state of palestine,Asia,Western Asia
Israel,Asia,Western Asia
libya,Africa,Northern Africa
Mexico,Americas,Central America
Romania,Europe,Eastern Europe
Belarus,Europe,Eastern Europe
Ecuador,Americas,South America
Sudan,Africa,Northern Africa
tanzania,Africa,Eastern Africa
Micronesia (Federated States of),Oceania,Micronesia
bosnia and herzegovina,Europe,Southern Europe
Jordan,Asia,Western Asia
Qatar,Asia,Western Asia
Tuvalu,Oceania,Polynesia
Saint Vincent and the Grenadines,Americas,Caribbean
Gaza Strip,Asia,Western Asia
Midway Is.,Americas,Northern America
Reunion,Africa,Eastern Africa
Saudi Arabia,Asia,Western Asia
taiwan province of china,Asia,Eastern Asia
Guadeloupe,Americas,Caribbean
Central African Republic,Africa,Middle Africa
French Polynesia,Oceania,Polynesia
Azores Islands,Europe,Southern Europe
Brazil,Americas,South America
Haiti,Americas,Caribbean
Kosovo,Europe,Southern Europe
congo (brazzaville),Africa,middle africa
congo (kinshasa),Africa,middle africa
